Bug ID,Reported Date,Module,Summary,Steps to Reproduce,Attachments,Expected Result,Actual Result,Status,Severity,Priority,Found Cycle ,Comments(Developer),Comments(QA)
Bug_001,08/07/2025,Signup,There is no length validation for the mobile number input.,Open apk > go to signup,,"The maximum length for number
 input should be 15 digits.","There is no length validation for
the mobile number input.",Open,Medium,Medium,,,
BUG_002,08/07/2025,Signup,"The minimum number of digits for a mobile number is 7 in input,
 but some countries actually have mobile numbers with only 4 digits.",Open apk > go to signup,,"The minimum digits of a mobile number
 should be 4, as it is for a global app.","The minimum number of digits for a
 mobile number is 7 in input, but some 
countries actually have mobile numbers 
with only 4 digits.",Open,High,High,,,
BUG_003,08/07/2025,Signup,"There is no age validation, as the date of birth can only be two days 
before today.",Open apk > go to signup,,"There should be a validation process in the 
date of birth section to ensure that the user
 meets the minimum age requirement.","There is no age validation, as the date of 
 birth can only be two days before today.",Open,High,High,,,
BIG_004,08/07/2025,Signup,"Signing up with an already registered mobile number but using a 
different country code results in an unexpected error stating that
 something went wrong.",Open apk > go to signup,,"Signing up with an already registered mobile
 number with different country code should be 
treated as a new mobile number","Signing up with an already registered mobile 
number but using a different country code 
results in an unexpected error stating that
something went wrong.",Open,High,High,,,
BIG_005,08/07/2025,Signup,"Signing up with an already registered mobile number  results in an 
unexpected error stating that something went wrong.",Open apk > go to signup,,"""Signing up with a previously registered mobile 
number should display a message indicating 
that the user is already registered.""","Signing up with an already registered mobile
number  results in an unexpected error stating
that something went wrong.",Open,High,High,,,
BUG_006,08/07/2025,Login,"There is no option to select the country code for the mobile number in 
the login section.",Open apk > go to login,,"There should be a optioin for counttry code in 
login section","There is no option to select the country code for
 the mobile number in the login section.",Open,High,High,,,
BUG_007,08/07/2025,Login,"When we log in with a registered mobile number and enter a valid OTP, 
a message appears stating that the mobile number or email address is
incorrect, and the screen goes completely blank.",Open apk > go to login,,"User must be logged in with registered mobile 
number","When we log in with a registered mobile number 
and enter a valid OTP, a message appears stating 
that the mobile number or email address is
incorrect, and the screen goes completely blank.",Open,High,High,,,
BUG_008,08/07/2025,Profile,"When we update a user's personal information, a message appears stating 
""user profile"" instead of ""user information updated.""","Open apk > go to profile > update 
information  ",,"Message should state ""User information updated"" ","When we update a user's personal information, a 
message appears stating ""user profile"" instead of 
""user information updated.""",Open,Low,Medium,,,
BIG_009,08/07/2025,Dashboard,"When we update user information and comes to dashboard and refresh page 
but on dashboard the information is not updasting","Open apk > go to profile > update 
information  >  refresh dashboard",,"User informations must be updated on dashboard 
after doing refresh, ones it is updated from profile","When we update user information and comes to 
dashboard and refresh page but on dashboard 
the information is not updasting",Open,High,High,,,
BIG_010,08/07/2025,Dashboard,"When we do check in, if we remove the app from recent and then reopen it, 
the check-in time always shows 6:45.","open apk > go to dashboard  > check in > 
remove from recent  >  reopen it",,"The check-in time should always reflect the actual 
time we check in.","When we do check in, if we remove the app from
recent and then reopen it, the check-in time 
always shows 6:45.",Open,High,High,,,
BUG_011,08/07/2025,Education,In education section the information  comes out of the card ,"Open apk > go to profile > update 
education",,The information should'nt overflow from card,In education section the information  comes out of the card ,Open,High,High,,,
BUG_012,08/07/2025,Education,"When we update the education degree in the education section, the update 
does not work; it just keeps loading.","Open apk > go to profile > update 
education",,"The update function must works when we update
education","When we update the education degree in the 
education section, the update does not work;
 it just keeps loading.",Open,High,High,,,
BUG_013,08/07/2025,Education,"When we add a degree, if we include the same period or an interval between 
the previous degrees, both degrees are counted.","Open apk > go to profile > update 
education",,Two degrees must have different time periods.,"When we add a degree, if we include the same period 
or an interval between the previous degrees, both 
degrees are counted.",Open,High,High,,,
